# coding,math,design,communication,security,cgpa_scaled,label   (interests 1-5, cgpa/2)
5,3,2,2,2,4.2,Software Engineering
5,4,1,2,3,3.9,Software Engineering
4,3,2,3,2,3.5,Software Engineering
5,2,3,2,1,4.5,Software Engineering
4,4,2,2,2,3.2,Software Engineering
5,3,1,3,2,2.9,Software Engineering
4,2,2,4,1,3.8,Software Engineering
5,4,2,1,2,4.0,Software Engineering
3,5,2,2,1,4.3,Data Science
4,5,1,2,2,4.1,Data Science
3,5,2,3,1,3.6,Data Science
4,4,2,2,1,4.4,Data Science
2,5,3,2,1,3.9,Data Science
4,5,1,3,2,3.4,Data Science
3,4,2,2,2,4.6,Data Science
3,5,1,2,1,3.1,Data Science
3,2,1,2,5,3.7,Cybersecurity
4,2,1,2,5,3.3,Cybersecurity
3,3,2,1,5,4.0,Cybersecurity
4,2,1,3,4,3.5,Cybersecurity
2,3,1,2,5,3.0,Cybersecurity
4,3,2,2,5,4.2,Cybersecurity
3,2,2,2,4,3.8,Cybersecurity
4,3,1,2,3,3.4,Cloud & DevOps Engineering
4,2,1,2,4,3.7,Cloud & DevOps Engineering
5,2,2,2,3,3.2,Cloud & DevOps Engineering
4,3,1,3,3,4.1,Cloud & DevOps Engineering
3,2,2,2,4,3.5,Cloud & DevOps Engineering
4,2,1,2,3,3.9,Cloud & DevOps Engineering
2,2,5,3,1,3.6,UI/UX Design
1,2,5,3,1,3.3,UI/UX Design
2,1,5,4,1,3.8,UI/UX Design
3,2,5,3,2,3.5,UI/UX Design
2,2,4,4,1,3.0,UI/UX Design
1,3,5,3,1,4.0,UI/UX Design
2,2,5,2,1,3.4,UI/UX Design
2,3,3,5,1,3.9,Product Management
3,3,2,5,2,4.2,Product Management
2,4,3,5,1,3.7,Product Management
3,2,3,5,1,3.3,Product Management
2,3,4,5,2,4.0,Product Management
3,3,3,4,1,3.6,Product Management
2,4,2,5,1,4.4,Product Management
